file_name,text
Wuhan_image/WH26123.TIF,Buildings in Wuhan
Wuhan_image/WH25321.TIF,Buildings in Wuhan
Wuhan_image/WH28774.TIF,Buildings in Wuhan
Wuhan_image/WH21070.TIF,Buildings in Wuhan
Wuhan_image/WH21846.TIF,Buildings in Wuhan
Wuhan_image/WH22595.TIF,Buildings in Wuhan
Wuhan_image/WH22334.TIF,Buildings in Wuhan
Wuhan_image/WH28838.TIF,Buildings in Wuhan
Wuhan_image/WH26035.TIF,Buildings in Wuhan
Wuhan_image/WH20137.TIF,Buildings in Wuhan
Wuhan_image/WH24329.TIF,Buildings in Wuhan
Wuhan_image/WH21866.TIF,Buildings in Wuhan
Wuhan_image/WH14654.TIF,Buildings in Wuhan
Wuhan_image/WH27852.TIF,Buildings in Wuhan
Wuhan_image/WH26125.TIF,Buildings in Wuhan
Wuhan_image/WH3844.TIF,Buildings in Wuhan
Wuhan_image/WH18654.TIF,Buildings in Wuhan
Wuhan_image/WH20168.TIF,Buildings in Wuhan
Wuhan_image/WH26051.TIF,Buildings in Wuhan
Wuhan_image/WH28758.TIF,Buildings in Wuhan
Wuhan_image/WH38647.TIF,Buildings in Wuhan
Wuhan_image/WH17136.TIF,Buildings in Wuhan
Wuhan_image/WH12884.TIF,Buildings in Wuhan
Wuhan_image/WH19398.TIF,Buildings in Wuhan
Wuhan_image/WH29754.TIF,Buildings in Wuhan
Wuhan_image/WH18686.TIF,Buildings in Wuhan
Wuhan_image/WH21868.TIF,Buildings in Wuhan
Wuhan_image/WH27056.TIF,Buildings in Wuhan
Wuhan_image/WH17174.TIF,Buildings in Wuhan
Wuhan_image/WH25789.TIF,Buildings in Wuhan
Wuhan_image/WH28775.TIF,Buildings in Wuhan
Wuhan_image/WH26308.TIF,Buildings in Wuhan
Wuhan_image/WH29242.TIF,Buildings in Wuhan
Wuhan_image/WH12901.TIF,Buildings in Wuhan
Wuhan_image/WH21316.TIF,Buildings in Wuhan
Wuhan_image/WH23354.TIF,Buildings in Wuhan
Wuhan_image/WH9577.TIF,Buildings in Wuhan
Wuhan_image/WH25067.TIF,Buildings in Wuhan
Wuhan_image/WH23295.TIF,Buildings in Wuhan
Wuhan_image/WH12893.TIF,Buildings in Wuhan
Wuhan_image/WH13128.TIF,Buildings in Wuhan
Wuhan_image/WH12637.TIF,Buildings in Wuhan
Wuhan_image/WH23296.TIF,Buildings in Wuhan
Wuhan_image/WH25567.TIF,Buildings in Wuhan
Wuhan_image/WH25541.TIF,Buildings in Wuhan
Wuhan_image/WH14653.TIF,Buildings in Wuhan
Wuhan_image/WH16433.TIF,Buildings in Wuhan
Wuhan_image/WH23583.TIF,Buildings in Wuhan
Wuhan_image/WH22361.TIF,Buildings in Wuhan
Wuhan_image/WH15193.TIF,Buildings in Wuhan
Wuhan_image/WH26865.TIF,Buildings in Wuhan
Wuhan_image/WH6334.TIF,Buildings in Wuhan
Wuhan_image/WH22842.TIF,Buildings in Wuhan
Wuhan_image/WH25787.TIF,Buildings in Wuhan
Wuhan_image/WH30025.TIF,Buildings in Wuhan
Wuhan_image/WH15884.TIF,Buildings in Wuhan
Wuhan_image/WH9824.TIF,Buildings in Wuhan
Wuhan_image/WH23790.TIF,Buildings in Wuhan
Wuhan_image/WH29270.TIF,Buildings in Wuhan
Wuhan_image/WH18203.TIF,Buildings in Wuhan
Wuhan_image/WH29797.TIF,Buildings in Wuhan
Wuhan_image/WH26531.TIF,Buildings in Wuhan
Wuhan_image/WH22581.TIF,Buildings in Wuhan
Wuhan_image/WH23085.TIF,Buildings in Wuhan
Wuhan_image/WH24326.TIF,Buildings in Wuhan
Wuhan_image/WH23580.TIF,Buildings in Wuhan
Wuhan_image/WH24084.TIF,Buildings in Wuhan
Wuhan_image/WH10894.TIF,Buildings in Wuhan
Wuhan_image/WH27606.TIF,Buildings in Wuhan
Wuhan_image/WH11401.TIF,Buildings in Wuhan
Wuhan_image/WH26066.TIF,Buildings in Wuhan
Wuhan_image/WH28266.TIF,Buildings in Wuhan
Wuhan_image/WH21609.TIF,Buildings in Wuhan
Wuhan_image/WH23048.TIF,Buildings in Wuhan
Wuhan_image/WH11648.TIF,Buildings in Wuhan
Wuhan_image/WH22313.TIF,Buildings in Wuhan
Wuhan_image/WH12653.TIF,Buildings in Wuhan
Wuhan_image/WH20632.TIF,Buildings in Wuhan
Wuhan_image/WH14396.TIF,Buildings in Wuhan
Wuhan_image/WH27832.TIF,Buildings in Wuhan
Wuhan_image/WH23049.TIF,Buildings in Wuhan
Wuhan_image/WH16135.TIF,Buildings in Wuhan
Wuhan_image/WH21848.TIF,Buildings in Wuhan
Wuhan_image/WH12142.TIF,Buildings in Wuhan
Wuhan_image/WH26085.TIF,Buildings in Wuhan
Wuhan_image/WH7298.TIF,Buildings in Wuhan
Wuhan_image/WH17368.TIF,Buildings in Wuhan
Wuhan_image/WH24073.TIF,Buildings in Wuhan
Wuhan_image/WH11878.TIF,Buildings in Wuhan
Wuhan_image/WH22323.TIF,Buildings in Wuhan
Wuhan_image/WH24828.TIF,Buildings in Wuhan
Wuhan_image/WH27790.TIF,Buildings in Wuhan
Wuhan_image/WH21628.TIF,Buildings in Wuhan
Wuhan_image/WH28323.TIF,Buildings in Wuhan
Wuhan_image/WH17396.TIF,Buildings in Wuhan
Wuhan_image/WH27025.TIF,Buildings in Wuhan
Wuhan_image/WH28975.TIF,Buildings in Wuhan
Wuhan_image/WH22578.TIF,Buildings in Wuhan
Wuhan_image/WH20629.TIF,Buildings in Wuhan
