file_name,text
Beijing_image/BJ5167.png,Buildings in Beijing
Beijing_image/BJ6620.png,Buildings in Beijing
Beijing_image/BJ5595.png,Buildings in Beijing
Beijing_image/BJ8848.png,Buildings in Beijing
Beijing_image/BJ4777.png,Buildings in Beijing
Beijing_image/BJ5683.png,Buildings in Beijing
Beijing_image/BJ13924.png,Buildings in Beijing
Beijing_image/BJ10530.png,Buildings in Beijing
Beijing_image/BJ5742.png,Buildings in Beijing
Beijing_image/BJ9320.png,Buildings in Beijing
Beijing_image/BJ6523.png,Buildings in Beijing
Beijing_image/BJ9810.png,Buildings in Beijing
Beijing_image/BJ4541.png,Buildings in Beijing
Beijing_image/BJ953.png,Buildings in Beijing
Beijing_image/BJ8656.png,Buildings in Beijing
Beijing_image/BJ15527.png,Buildings in Beijing
Beijing_image/BJ6824.png,Buildings in Beijing
Beijing_image/BJ10363.png,Buildings in Beijing
Beijing_image/BJ4757.png,Buildings in Beijing
Beijing_image/BJ1239.png,Buildings in Beijing
Beijing_image/BJ12577.png,Buildings in Beijing
Beijing_image/BJ9844.png,Buildings in Beijing
Beijing_image/BJ5781.png,Buildings in Beijing
Beijing_image/BJ1275.png,Buildings in Beijing
Beijing_image/BJ11887.png,Buildings in Beijing
Beijing_image/BJ5538.png,Buildings in Beijing
Beijing_image/BJ11020.png,Buildings in Beijing
Beijing_image/BJ7159.png,Buildings in Beijing
Beijing_image/BJ12067.png,Buildings in Beijing
Beijing_image/BJ11539.png,Buildings in Beijing
Beijing_image/BJ17580.png,Buildings in Beijing
Beijing_image/BJ13640.png,Buildings in Beijing
Beijing_image/BJ4607.png,Buildings in Beijing
Beijing_image/BJ2881.png,Buildings in Beijing
Beijing_image/BJ7171.png,Buildings in Beijing
Beijing_image/BJ3239.png,Buildings in Beijing
Beijing_image/BJ16441.png,Buildings in Beijing
Beijing_image/BJ12227.png,Buildings in Beijing
Beijing_image/BJ1018.png,Buildings in Beijing
Beijing_image/BJ12217.png,Buildings in Beijing
Beijing_image/BJ12057.png,Buildings in Beijing
Beijing_image/BJ5676.png,Buildings in Beijing
Beijing_image/BJ10723.png,Buildings in Beijing
Beijing_image/BJ6983.png,Buildings in Beijing
